iter	Logloss
0	0.6864831389
1	0.6814856653
2	0.6772505212
3	0.6739915781
4	0.6710618906
5	0.6685595848
6	0.6663621384
7	0.6641932444
8	0.6625852324
9	0.6611008266
10	0.6597251638
11	0.6587448064
12	0.6572554311
13	0.6557346121
14	0.6547079023
15	0.653542045
16	0.6528604029
17	0.6519877492
18	0.6513425656
19	0.6504538287
20	0.6500787629
21	0.6496277985
22	0.6492326738
23	0.6487766946
24	0.6481431217
25	0.6473805211
26	0.647103491
27	0.6465314954
28	0.6456271721
29	0.6450002403
30	0.6446678676
31	0.6441614248
32	0.6437878048
33	0.6430792367
34	0.6424542476
35	0.6420899341
36	0.6418005705
37	0.6414647642
38	0.6410681035
39	0.6407204606
40	0.640080879
41	0.6397387478
42	0.6394244913
43	0.6392586438
44	0.638793855
45	0.6376172453
46	0.6369343383
47	0.6365301328
48	0.6362325469
49	0.635700624
50	0.6352940241
51	0.6349387462
52	0.6344540792
53	0.6337697264
54	0.633344694
55	0.6326301626
56	0.6324308383
57	0.6319463519
58	0.6316174127
59	0.6313272359
60	0.6303393338
61	0.6299035491
62	0.6291971044
63	0.6288850165
64	0.6286406048
65	0.6280478725
66	0.6274494479
67	0.6271192888
68	0.6266089156
69	0.6263565978
70	0.6262274798
71	0.6258737379
72	0.6256914908
73	0.6256491141
74	0.6253388784
75	0.6247653467
76	0.6243681438
77	0.623739179
78	0.6231709783
79	0.6227574663
80	0.6223343313
81	0.6217178356
82	0.6215137677
83	0.6210699865
84	0.620791059
85	0.620192544
86	0.6198940997
87	0.6198303991
88	0.6194621551
89	0.6192233455
90	0.6188523005
91	0.6180278064
92	0.6176066141
93	0.6172593326
94	0.6167383879
95	0.6162140548
96	0.6160332985
97	0.6156529018
98	0.6150677594
99	0.6148131827
100	0.614073939
101	0.6133527664
102	0.612929767
103	0.6120593723
104	0.6115634108
105	0.6109719435
106	0.6103076949
107	0.6097259409
108	0.6091888676
109	0.6088661629
110	0.6085104783
111	0.608187864
112	0.6075064478
113	0.6070883728
114	0.6066720597
115	0.60576864
116	0.6051862083
117	0.6047031676
118	0.6040271276
119	0.6036827827
120	0.6032268487
121	0.6027503137
122	0.6023032346
123	0.6016613489
124	0.6011352087
125	0.6006348198
126	0.6000877171
127	0.5998358963
128	0.5993084008
129	0.5987985697
130	0.5983887622
131	0.5980875169
132	0.5974233135
133	0.5970502807
134	0.5964458022
135	0.5959809682
136	0.5953312668
137	0.5950418129
138	0.5947412905
139	0.5942421665
140	0.593636152
141	0.5930921214
142	0.5926366392
143	0.5919955216
144	0.591594072
145	0.5912406464
146	0.5907604971
147	0.5903126048
148	0.5902007899
149	0.5898599688
150	0.589517431
151	0.5892756396
